Term,Type,Synonyms,Definition,Generated Definition
>commodity derivative contract,Class,,,"A kind of derivative instrument. A valid occurrence satisfies the following necessary condition:
hasUnderlier at least one occurrence of commodity underlying."
a b s c d o deal,Class,,An issue of Asset Backed Security CDO notes.,"A kind of c d o deal. A valid occurrence satisfies the following necessary condition:
has underlying pool at least one occurrence of (Unnamed Class)."
a b s c d o instrument,Class,,CDO where the underlying asset pool is ABS.,A kind of cash c d o tranche.
a b s deal,Class,,The issue of a series of Cash Asset Backed Security certificates.,A kind of pool backed securities deal.
a b s deal prospectus,Class,,Prospectus describing the terms of the issue and each of the instruments included in the asset backed security issue.,A kind of pool backed deal prospectus.
a b s issuer,Class,,"The issuer of the (Cash) Asset Backed Security. This is generally a Special Purpose Vehicle set up by a corporation. Further details from riskglossary.com: To create an ABS, a corporation creates a special purpose vehicle to which it sells the assets. While is is common to speak of the corporation as the issuer of the ABS, legally, it is the trust or special purpose vehicle that is the issuer. It sells securities to investors. To protect investors from possible bankruptcy of the corporation, there are three legal safeguards: - Transfer of assets from the corporation is a non-recourse, true sale. - Investors receive a perfected interest in the assets' cash flows. - A non-consolidation legal opinion is obtained certifying that assets of the trust or special purpose vehicle cannot be consolidated with the corporation's assets in the event of bankruptcy. These same safeguards allow the corporation to remove the assets from its balance sheet. The corporation generally continues to service the assets - collecting interest and principal payments, pursuing delinquencies, etc. It is paid out of asset cash flows for providing these ongoing services.","A kind of pool backed security issuer. A valid occurrence satisfies the following necessary condition:
described as at least one occurrence of debt s p v."
a category indicating how the loan amortizes,Class,,,A kind of classifier.
a v m provider  (please review),Class,,Party which is the Provider of an AVM Valuation.,A kind of loan third party (please review).
ABA IIN registry entry,Class,,"an entry in the ABA IIN registry, a repository of financial institution characteristics collected by the ABA for those institutions to which they issue IINs","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of issuer identification number.A valid occurrence may also have the following properties:
applies to any number of occurrences of financial institution."
ABA RTN registry entry,Class,,"an entry in the ABA RTN registry, a repository of financial institution characteristics collected by the ABA Registrar on behalf of the ABA","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of routing transit number.A valid occurrence may also have the following properties:
applies to any number of occurrences of financial institution."
ability,Class,,The possession of the means to do a thing,"A valid occurrence satisfies the following necessary condition:
is capability to do at least one occurrence of functional occurrent."
absolate prepayment rate formula,Class,,"ABS is defined by the following formula where SMM refers to Single Monthly Mortality, which measures the percentage of dollars prepaid in a given month expressed as a percentage of the scheduled loan balance. ABS = (100 * SMM)/100 + (SMM X (Age- 1)","A kind of formula. A valid occurrence may have the following properties:
expressed as any number of occurrences of text value."
absolute prepayment rate,Class,,"The absolute prepayment rate (for ABS) is the standard measure of prepayment rates in the auto-loan sector. ABS measures the monthly rate of loan prepayments as a percentage of the original pool balance. ABS is defined by the following formula where SMM refers to Single Monthly Mortality, which measures the percentage of dollars prepaid in a given month expressed as a percentage of the scheduled loan balance. ABS = (100 * SMM)/100 + (SMM X (Age- 1)","A kind of loan pool analytic. A valid occurrence satisfies the following necessary condition:
determined by at least one occurrence of absolate prepayment rate formula.A valid occurrence may also have the following properties:
absolute prepayment rate has value any number of occurrences of timed percentage."
absolute price strike specification,Class,,Expression of the strike price as an absolute monetary price at which the option is to be struck.,"A kind of strike price specification. A valid occurrence may have the following properties:
strike price absolute amount any number of occurrences of monetary amount."
abstract cashflow construct,Class,,,
Acceleration,Class,,,A kind of Multi Dimensional Property.
account,Class,,"a container for records associated with a business arrangement for regular dealings or services (such as personal or professional services, banking)","A valid occurrence satisfies the following necessary conditions:
has party in role at least one occurrence of account provider.
comprises at least one occurrence of record.
has party in role at least one occurrence of account holder.
is identified by at least one occurrence of account identifier.A valid occurrence may also have the following properties:
is identified by any number of occurrences of account number."
account,Class,,"Business relationship between two entities; one entity is the account owner, the other entity is the account servicer.","A valid occurrence satisfies the following necessary conditions:
has balance at least one occurrence of balance.
has holder at least one occurrence of account holder.
account has provider at least one occurrence of account provider."
account holder,Class,,,A kind of party in role.
account holder,Class,,a party holding an account,"A kind of owner. A valid occurrence satisfies the following necessary conditions:
is played by at least one occurrence of `is a party to` some `account [fibo-fbc-pas-caa:Account]`.
is played by at least one occurrence of `owns` some `account [fibo-fbc-pas-caa:Account]`."
account identifier,Class,,an identifier assigned to each client account for ease in referring to that party's activity,"A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of account."
account number,Class,,an identifier assigned to each client account for ease in referring to that party's activity,"A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of account."
account payable,Class,,,A kind of ledger account.
account payable balance,Class,,Balance of accounts receivable,"A kind of ledger balance. A valid occurrence satisfies the following necessary conditions:
is balance of at least one occurrence of account payable.
is balance of at least one occurrence of account payable."
account provider,Class,,,"A kind of party in role. A valid occurrence may have the following properties:
provider has identity any number of occurrences of formally constituted organization."
account provider,Class,,a party that provides and services the account,"A kind of service provider. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `is a party to` some `account [fibo-fbc-pas-caa:Account]`."
account receivable,Class,,,A kind of ledger account.
account receivable balance,Class,,Balance of accounts receivable,"A kind of ledger balance. A valid occurrence satisfies the following necessary condition:
is balance of at least one occurrence of account receivable."
account servicing,Class,,,"A kind of relationship context. A valid occurrence satisfies the following necessary conditions:
has party account provider at least one occurrence of account provider.
has party account holder at least one occurrence of account holder."
account-specific service agreement,Class,,"a service-agreement that is account-specific, applicable in cases where a client holds multiple accounts with differing terms and conditions","A kind of service agreement. A valid occurrence satisfies the following necessary conditions:
applies to at least one occurrence of account.
has contract party at least one occurrence of account provider.
has contract party at least one occurrence of account holder."
accounting party,Class,,"The Party from the perspective of which these accounts are prepared. This is the to whom the balances apply. There would be corresponding accounts (supplier, customer) for counterparties with whom the Accounting Party does business.",A kind of party in role.
accounting reporting party,Class,,"The party, from the perspective of which economic facts are defined.",A kind of aspect viewing party.
accounting transaction,Class,,event or condition recognized by an entry in the records of an account,A kind of transaction event.
accounting transaction,Class,,event or condition recognized by an entry in the books of an account,"A kind of transaction event. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of account."
accounts ledger entry,Class,,,"A valid occurrence satisfies the following necessary condition:
is part of at least one occurrence of ledger account.A valid occurrence may also have the following properties:
narrative any number of occurrences of text value.
amount any number of occurrences of monetary amount."
accreting,Class,,,A kind of amortization type.
accrual,Class,,the process of accumulating interest or other income that has been earned but not paid,"A kind of thing in role. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of interest."
accrued fees,Class,,,
accrued income,Class,,,
accrued interest amount,Class,,"The interest accrued on the bond or debt instrument at the time that the price is quoted. If this is a dirty price, this is the amount of accrued interest that is included in the price. This is therefore passed on to the purchaser of the bond or debt instrument.","A kind of interest. A valid occurrence may have the following properties:
accrued interest amount has value any number of occurrences of timed percentage."
accrued liability,Class,,Liability which has been incurred by the entity and is yet to be paid off.,A kind of liability.
accrued taxes,Class,,,
accumulating share class,Class,,A share class in which there is no option to reinvest.,A kind of fund share class unit.
active,Class,,Security is actively traded,A kind of security trading status.
active loan status,Class,,Status of a Loan which is in the Disbursement phase.,"A kind of loan lifecycle status. A valid occurrence satisfies the following necessary condition:
has loan application status at least one occurrence of loan application at disbursement stage."
actively trading,Class,,Security is actively traded on the exchange or trading facility,A kind of exchange security trading status.
ad hoc schedule,Class,,"a schedule that consists of (comprises) AdHocScheduleEntries, each of which specifies a date","A kind of schedule. A valid occurrence satisfies the following necessary conditions:
lists scheduled event at least one occurrence of explicitly scheduled event.
comprises at least one occurrence of ad hoc schedule entry.
lists scheduled event at least one occurrence of explicitly scheduled event."
ad hoc schedule entry,Class,,"an entry, including a date, among multiple ad hoc schedule entries that jointly make up an AdHocSchedule","A valid occurrence satisfies the following necessary conditions:
comprises exactly one occurrence of occurrence kind.
has date exactly one occurrence of date."
ad valorem tax provision,Class,,"A direct tax calculated “according to value” of property. Ad valorem tax is based on an assigned valuation (market or assessed) of real property and, in certain cases, on a valuation of tangible or intangible personal property. In virtually all jurisdictions, ad valorem tax is a lien on the property enforceable by seizure and sale of the property. An ad valorem tax is normally the one substantial tax that may be raised or lowered by a local governing body without the sanction of superior levels of government (although constitutional or statutory restrictions such as tax rate limitations may limit this right).","A valid occurrence may have the following properties:
is limited any number of values of yesOrNo."
address,Class,,an index to a location to which communications may be delivered,"A kind of index. A valid occurrence satisfies the following necessary conditions:
applies to exactly one occurrence of location.
has definition exactly one occurrence of addressing scheme.A valid occurrence may also have the following properties:
is index to any number of occurrences of location."
addressing scheme,Class,,a system for allocating addresses to objects,"A kind of indexing scheme. A valid occurrence may have the following properties:
defines any number of occurrences of address."
adjustment method,Class,,"The method by which something is adjusted, for example the terms of a contract, in reaction to events.",A kind of method.
adult,Class,,a person who has attained the age of majority as defined by given jurisdiction,A kind of person.
advance refunding,Class,,"A bond issuance in which new bonds are sold at a lower rate than outstanding ones. The proceeds are then invested, and when the older bonds become callable they are paid off with the invested proceeds.",A kind of refunding purpose.
affiliate,Class,,"an affiliate of, or a person affiliated with, a specific person is a person that directly, or indirectly through one or more intermediaries, controls, or is controlled by, or is under common control with, the person specified",
agency c m o,Class,,,"A kind of collateralized obligation instrument. A valid occurrence satisfies the following necessary conditions:
has tranche type at least one occurrence of tranche type.
has underlying pool at least one occurrence of agency m b s pool.
provides prepayment support at least one occurrence of agency c m o."
agency determined date,Class,,A date which is or which is to be determined by some external agency.,A kind of determined date.
agency i o tranche,Class,,,A kind of agency c m o.
agency jump tranche,Class,,A tranche where if there is some sort of trigger event reached then the holders of the tranche will begin to receive payments.,"A kind of agency c m o. A valid occurrence satisfies the following necessary condition:
specifies trigger at least one occurrence of jump z trigger event."
agency jump z tranche,Class,,"A Jump Z tranche is like a Z tranche but if there is some sort of trigger event reached then the holders of the Jump Z tranche will begin to receive payments. Regular non-Sticky Jump Z tranches maintain their changed status only while the trigger event is in effect, and revert to their old payment status once the trigger event has passed.",A kind of agency jump tranche and agency z tranche.
agency m b s deal,Class,,An issue of securities backed by pools of mortgages held by government agencies.,A kind of m b s deal.
agency m b s issuer,Class,,The issuer of the pass through MBS is an Agency issuer. This is identified as being some kind of agency that is set up specifically to issue these instruments.,"A kind of m b s issuer. A valid occurrence satisfies the following necessary condition:
issuer identity at least one occurrence of government mortgage agency."
agency m b s pool,Class,,A pool investment consisting of a collection of Agency MBS instruments.,A kind of m b s pool.
agency mortgage pool,Class,,A pool of agency mortgages.,A kind of mortgage pool.
agency p o tranche,Class,,Principal Only tranche. This tranche will only pay principal.,A kind of agency c m o.
