Term,Type,Synonyms,Definition,Generated Definition
"ABA IIN registry entry",Class,"","an entry in the ABA IIN registry, a repository of financial institution characteristics collected by the ABA for those institutions to which they issue IINs","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of issuer identification number.A valid occurrence may also have the following properties:
applies to any number of occurrences of financial institution."
"ABA RTN registry entry",Class,"","an entry in the ABA RTN registry, a repository of financial institution characteristics collected by the ABA Registrar on behalf of the ABA","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of routing transit number.A valid occurrence may also have the following properties:
applies to any number of occurrences of financial institution."
"account",Class,"","a container for records associated with a business arrangement for regular dealings or services (such as personal or professional services, banking)","A valid occurrence satisfies the following necessary conditions:
has party in role at least one occurrence of account provider.
comprises at least one occurrence of record.
has party in role at least one occurrence of account holder.
is identified by at least one occurrence of account identifier.A valid occurrence may also have the following properties:
is identified by any number of occurrences of account number."
"account holder",Class,"","a party holding an account","A kind of owner. A valid occurrence satisfies the following necessary conditions:
is played by at least one occurrence of `is a party to` some `account [fibo-fbc-pas-caa:Account]`.
is played by at least one occurrence of `owns` some `account [fibo-fbc-pas-caa:Account]`."
"account identifier",Class,"","an identifier assigned to each client account for ease in referring to that party's activity","A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of account."
"account number",Class,"","an identifier assigned to each client account for ease in referring to that party's activity","A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of account."
"account provider",Class,"","a party that provides and services the account","A kind of service provider. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `is a party to` some `account [fibo-fbc-pas-caa:Account]`."
"account-specific service agreement",Class,"","a service-agreement that is account-specific, applicable in cases where a client holds multiple accounts with differing terms and conditions","A kind of service agreement. A valid occurrence satisfies the following necessary conditions:
applies to at least one occurrence of account.
has contract party at least one occurrence of account provider.
has contract party at least one occurrence of account holder."
"accounting transaction",Class,"","event or condition recognized by an entry in the books of an account","A kind of transaction event. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of account."
"accounting transaction",Class,"","event or condition recognized by an entry in the records of an account","A kind of transaction event."
